id,name,type,base,power,rarity,class,scope0,type0,stat0,value0,scope1,type1,stat1,value1,dmg0,dstype0,dtype0,blast0,dmg1,dstype1,dtype1,blast1,procdmg,procstype,proctype,procblast,burst,rpm,clip,reload,range,crit,description,buff,bscope0,btype0,bstat0,bvalue0,bscope1,btype1,bstat1,bvalue1,special
0,Defender (38),A-Rifle,Defender,38,Epic,universal,,,,,,,,,181,Physical,Kinetic,,,,,,,,,,,500,40,,35,1.5,"Standard-issue, well-balanced combat rifle.",,,,,,,,,,
1,Elemental Rage (61),A-Rifle,Defender,61,Masterwork,universal,,,,,,,,,238,Physical,Kinetic,,,,,,,,,,,500,40,,35,1.5,Upgraded Defender: Standard-issue Freelancer rifle. ,Veteran's Furor,jav,Elemental,Damage,100,,,,,Veteran's Furor: Hitting Elite enemies increases all elemental damage by 5% for 10 seconds. Stacks to 20.
2,Elemental Rage (75),A-Rifle,Defender,75,Legendary,universal,,,,,,,,,337,Physical,Kinetic,,,,,,,,,,,500,40,,35,1.5,Upgraded Defender: Standard-issue Freelancer rifle. ,Veteran's Furor,jav,Elemental,Damage,100,,,,,Veteran's Furor: Hitting Elite enemies increases all elemental damage by 5% for 10 seconds. Stacks to 20.
3,Hammerhead (38),A-Rifle,Hammerhead,38,Epic,universal,,,,,,,,,272,Physical,Kinetic,,,,,,,,,,,425,30,,25,1.75,"Greatest striking power, but lowest rate of fire in the assault rifle class.",,,,,,,,,,
4,Ralner's Blaze (61),A-Rifle,Hammerhead,61,Masterwork,universal,,,,,,,,,359,Physical,Kinetic,,,,,,100,Elemental,Fire,,,425,30,,25,1.75,Upgraded Hammerhead: Hardest hitter in assault class.,,,,,,,,,,Ignites the target while on a hit-streak (5).
5,Ralner's Blaze (75),A-Rifle,Hammerhead,75,Legendary,universal,,,,,,,,,508,Physical,Kinetic,,,,,,100,Elemental,Fire,,,425,30,,25,1.75,Upgraded Hammerhead: Hardest hitter in assault class.,,,,,,,,,,Ignites the target while on a hit-streak (5).
6,Warden (38),A-Rifle,Warden,38,Epic,universal,,,,,,,,,245,Physical,Kinetic,,,,,,,,,,4,600,36,,45,1.87,Four-round bursts enhance this rifle's ability to inflict damage.,,,,,,,,,,
7,Divine Vengeance (61),A-Rifle,Warden,61,Masterwork,universal,,,,,,,,,323,Physical,Kinetic,,,,,,100,Elemental,Fire,blast,4,600,36,,45,1.87,Upgraded Warden: Fires four-shot bursts. ,,,,,,,,,,Every third weak point hit causes large fire explosions.
8,Divine Vengeance (75),A-Rifle,Warden,75,Legendary,universal,,,,,,,,,458,Physical,Kinetic,,,,,,100,Elemental,Fire,blast,4,600,36,,45,1.87,Upgraded Warden: Fires four-shot bursts. ,,,,,,,,,,Every third weak point hit causes large fire explosions.
9,Cloudburst (38),Autocannon,Cloudburst,38,Epic,universal,,,,,,,,,237,Physical,Kinetic,,,,,,,,,,,1000,150,,35,1.5,Impressive rate of fire cuts down numerous targets quickly.,,,,,,,,,,
10,Fist of Stral (61),Autocannon,Cloudburst,61,Masterwork,universal,,,,,,,,,313,Physical,Kinetic,,,,,,,,,,,1000,150,,35,1.5,Upgraded Cloudburst: Excellent rate of fire. ,Striker's Fury,gear,Weap,Damage,160,,,,,Striker's Fury: Hitting enemies increases weapon damage by 16% for 5 seconds. Stacks to 10.
11,Fist of Stral (75),Autocannon,Cloudburst,75,Legendary,universal,,,,,,,,,443,Physical,Kinetic,,,,,,,,,,,1000,150,,35,1.5,Upgraded Cloudburst: Excellent rate of fire. ,Striker's Fury,gear,Weap,Damage,160,,,,,Striker's Fury: Hitting enemies increases weapon damage by 16% for 5 seconds. Stacks to 10.
12,Mauler (38),Autocannon,Mauler,38,Epic,universal,,,,,,,,,203,Physical,Kinetic,,,,,,,,,,,800,100,,35,1.75,Lower relative rate of fire compensated by shells that deliver maximum damage.,,,,,,,,,,
13,The Last Stand (61),Autocannon,Mauler,61,Masterwork,universal,,,,,,,,,268,Physical,Kinetic,,,,,,,,,,,800,100,,35,1.75,Upgraded Mauler: Heaviest hitter of the autocannons. ,Gambler's Wrath,gear,Weap,Damage,225,,,,,"Gambler's Wrath: When suit health declines, all weapon damage increases by 225% for 10 seconds."
14,The Last Stand (75),Autocannon,Mauler,75,Legendary,universal,,,,,,,,,380,Physical,Kinetic,,,,,,,,,,,800,100,,35,1.75,Upgraded Mauler: Heaviest hitter of the autocannons. ,Gambler's Wrath,gear,Weap,Damage,225,,,,,"Gambler's Wrath: When suit health declines, all weapon damage increases by 225% for 10 seconds."
15,Torrent (38),Autocannon,Torrent,38,Epic,universal,,,,,,,,,323,Physical,Kinetic,,,,,,,,,,,900,200,,35,1.5,Accuracy increases the longer you concentrate fire on a target. Consumes two ammo per shot.,,,,,,,,,,
16,Endless Siege (61),Autocannon,Torrent,61,Masterwork,universal,gear,Kinetic,Damage,100,,,,,426,Physical,Kinetic,,,,,,,,,,,900,400,,35,1.5,Upgraded Torrent: Accuracy improves the longer you fire. ,,,,,,,,,,Base magazine size is increased by 100% and base damage is increased by 100%.
17,Endless Siege (75),Autocannon,Torrent,75,Legendary,universal,gear,Kinetic,Damage,100,,,,,603,Physical,Kinetic,,,,,,,,,,,900,400,,35,1.5,Upgraded Torrent: Accuracy improves the longer you fire. ,,,,,,,,,,Base magazine size is increased by 100% and base damage is increased by 100%.
18,Aftershock (38),GrenLaun,Aftershock,38,Epic,universal,,,,,,,,,268,Physical,Kinetic,,806,Physical,Kinetic,blast,,,,,3,300,9,,35,1,Payload sticks to enemy. Once it adheres to target—it detonates.,,,,,,,,,,
19,Sentinel's Vengeance (61),GrenLaun,Aftershock,61,Masterwork,universal,,,,,,,,,709,Physical,Kinetic,,2127,Physical,Kinetic,blast,,,,,3,300,9,,35,1,Upgraded Aftershock: Grenade sticks to the enemy. ,,,,,,,,,,Detonates an area acid effect on a small hit-streak.
20,Sentinel's Vengeance (75),GrenLaun,Aftershock,75,Legendary,universal,,,,,,,,,1002,Physical,Kinetic,,3008,Physical,Kinetic,blast,,,,,3,300,9,,35,1,Upgraded Aftershock: Grenade sticks to the enemy. ,,,,,,,,,,Detonates an area acid effect on a small hit-streak.
21,Bombardier (38),GrenLaun,Bombardier,38,Epic,universal,,,,,,,,,1357,Physical,Kinetic,blast,,,,,,,,,,120,8,,25,1,"Grenades skip before exploding, enhancing effective range.",,,,,,,,,,
22,Insult And Injury (61),GrenLaun,Bombardier,61,Masterwork,universal,,,,,,,,,3582,Physical,Kinetic,blast,,,,,,,,,,120,8,,25,1,Upgraded Bombardier: Grenades bounce before exploding. ,Victor's Bulwark,jav,Elemental,Resist,75,,,,,Victor's Bulwark: Defeating an enemy clears harmful status effects and boosts effect resistance by 75% for 10 seconds.
23,Insult And Injury (75),GrenLaun,Bombardier,75,Legendary,universal,,,,,,,,,5066,Physical,Kinetic,blast,,,,,,,,,,120,8,,25,1,Upgraded Bombardier: Grenades bounce before exploding. ,Victor's Bulwark,jav,Elemental,Resist,75,,,,,Victor's Bulwark: Defeating an enemy clears harmful status effects and boosts effect resistance by 75% for 10 seconds.
24,Lurker (38),GrenLaun,Lurker,38,Epic,universal,,,,,,,,,1510,Physical,Kinetic,blast,,,,,,,,,,120,6,,25,1,Ability to manually detonate grenades instead of tight-aiming. Allows grenades to function like mines.,,,,,,,,,,
25,Balm Of Gavinicus (61),GrenLaun,Lurker,61,Masterwork,universal,,,,,,,,,3587,Physical,Kinetic,blast,,,,,,,,,,120,6,,25,1,Upgraded Lurker: Manually detonates mines instead of tight-aiming. ,,,,,,,,,,Hitting 2 enemies restores 25% armor.
26,Balm Of Gavinicus (75),GrenLaun,Lurker,75,Legendary,universal,,,,,,,,,5073,Physical,Kinetic,blast,,,,,,,,,,120,6,,25,1,Upgraded Lurker: Manually detonates mines instead of tight-aiming. ,,,,,,,,,,Hitting 2 enemies restores 25% armor.
27,Barrage (38),Hvy Pistol,Barrage,38,Epic,universal,,,,,,,,,204,Physical,Kinetic,,,,,,,,,,,500,20,,25,2.8,Crushing rate of fire allows for the most bullets in the least amount of time.,,,,,,,,,,
28,Close Encounter (61),Hvy Pistol,Barrage,61,Masterwork,universal,,,,,,,,,270,Physical,Kinetic,,,,,,,,,,,500,20,,25,2.8,Upgraded Barrage: Delivers an excellent rate of fire.,Scout's Fury,jav,Weap,Damage,125,,,,,Scout's Fury: Dashing increases weapon damage by 125% for 10 seconds. 
29,Close Encounter (75),Hvy Pistol,Barrage,75,Legendary,universal,,,,,,,,,382,Physical,Kinetic,,,,,,,,,,,500,20,,25,2.8,Upgraded Barrage: Delivers an excellent rate of fire.,Scout's Fury,jav,Weap,Damage,125,,,,,Scout's Fury: Dashing increases weapon damage by 125% for 10 seconds. 
30,Blastback (38),Hvy Pistol,Blastback,38,Epic,universal,,,,,,,,,791,Physical,Kinetic,,,,,,,,,,,240,9,,35,2.8,Handgun packing devastating strike force.,,,,,,,,,,
31,Avenging Herald (61),Hvy Pistol,Blastback,61,Masterwork,universal,,,,,,,,,1044,Physical,Kinetic,,,,,,,,,,,240,9,,35,2.8,Upgraded Blastback: Handgun with solid striking force. ,Raptor's Deadeye,gear,Weap,Damage,200,,,,,Raptor's Deadeye: Hovering increases weapon damage by 200%.
32,Avenging Herald (75),Hvy Pistol,Blastback,75,Legendary,universal,,,,,,,,,1477,Physical,Kinetic,,,,,,,,,,,240,9,,35,2.8,Upgraded Blastback: Handgun with solid striking force. ,Raptor's Deadeye,gear,Weap,Damage,200,,,,,Raptor's Deadeye: Hovering increases weapon damage by 200%.
33,Resolution (38),Hvy Pistol,Resolution,38,Epic,universal,,,,,,,,,541,Physical,Kinetic,,,,,,,,,,2,450,16,,25,2.8,1-2 punch with a dramatic striking force.,,,,,,,,,,
34,Glorious Result (61),Hvy Pistol,Resolution,61,Masterwork,universal,,,,,,,,,715,Physical,Kinetic,,,,,,,,,,2,450,16,,25,2.8,"Upgraded Resolution: Fires a forceful, one-two punch. ",Gunslinger's Fury,jav,Weap,Damage,150,,,,,Gunslinger's Fury: Hitting (2) enemy weak points quickly increases all weapon damage by 150% for 5 seconds.
35,Glorious Result (75),Hvy Pistol,Resolution,75,Legendary,universal,,,,,,,,,1011,Physical,Kinetic,,,,,,,,,,2,450,16,,25,2.8,"Upgraded Resolution: Fires a forceful, one-two punch. ",Gunslinger's Fury,jav,Weap,Damage,150,,,,,Gunslinger's Fury: Hitting (2) enemy weak points quickly increases all weapon damage by 150% for 5 seconds.
36,Havoc (38),LMG,Havoc,38,Epic,universal,,,,,,,,,167,Physical,Kinetic,,,,,,,,,,,850,75,,25,1.75,Fastest-firing weapon in the light machine gun class.,,,,,,,,,,
37,Renewed Courage (61),LMG,Havoc,61,Masterwork,universal,,,,,,,,,353,Physical,Kinetic,,,,,,,,,,,850,75,,25,1.75,Upgraded Havoc: Fastest rate of fire in class. ,Survivor's Balance,gear,Weap,Recoil Aim,-100,,,,,Last shot reduces recoil by -50% for the next 20 seconds. Stacks to 2.
38,Renewed Courage (75),LMG,Havoc,75,Legendary,universal,,,,,,,,,500,Physical,Kinetic,,,,,,,,,,,850,75,,25,1.75,Upgraded Havoc: Fastest rate of fire in class. ,Survivor's Balance,gear,Weap,Recoil Aim,-100,,,,,Last shot reduces recoil by -50% for the next 20 seconds. Stacks to 2.
39,Relentless (38),LMG,Relentless,38,Epic,universal,,,,,,,,,213,Physical,Kinetic,,,,,,,,,,,500,100,,35,1.75,Versatile delivery of a high rate of fire and solid damage capability.,,,,,,,,,,
40,Artinia's Gambit (61),LMG,Relentless,61,Masterwork,universal,,,,,,,,,564,Physical,Kinetic,,,,,,,,,,,500,100,,35,1.75,Upgraded Relentless: Most balanced gun in its class. ,,,,,,,,,,"When reloading, detonates a Combo explosion on primed targets in the immediate area."
41,Artinia's Gambit (75),LMG,Relentless,75,Legendary,universal,,,,,,,,,798,Physical,Kinetic,,,,,,,,,,,500,100,,35,1.75,Upgraded Relentless: Most balanced gun in its class. ,,,,,,,,,,"When reloading, detonates a Combo explosion on primed targets in the immediate area."
42,Sledgehammer (38),LMG,Sledgehammer,38,Epic,universal,,,,,,,,,322,Physical,Kinetic,,,,,,,,,,,300,50,,45,1.75,"Heaviest, but slowest hitter in light machine gun class.",,,,,,,,,,
43,Cycle Of Pain (61),LMG,Sledgehammer,61,Masterwork,universal,,,,,,,,,616,Physical,Kinetic,,,,,,,,,,,300,50,,45,1.75,Upgraded Sledgehammer: Slower rate of fire with best striking power. ,Marksman's Swiftness,gear,Weap,RPM,100,,,,,Weak point hits increase weapon rate of fire by 10% for 10 seconds. Stacks to 10.
44,Cycle Of Pain (75),LMG,Sledgehammer,75,Legendary,universal,,,,,,,,,871,Physical,Kinetic,,,,,,,,,,,300,50,,45,1.75,Upgraded Sledgehammer: Slower rate of fire with best striking power. ,Marksman's Swiftness,gear,Weap,RPM,100,,,,,Weak point hits increase weapon rate of fire by 10% for 10 seconds. Stacks to 10.
45,Fulcrum (38),Mch Pistol,Fulcrum,38,Epic,universal,,,,,,,,,100,Physical,Kinetic,,,,,,,,,,,1000,40,,15,1.5,"Fires at a terrific rate. Even, balanced submachine gun.",,,,,,,,,,
